#Taxonomy
#OTU ID	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10	taxonomy
0	44	255	414	36004	242	734	2050	102	71	2193	230	176	19862	213	580	208	494	163	340	554	4938	5575	811	731	6073	13733	300	90	13	159	127	99	159	154	61	588	2510	241	73	89	576	1__Bacteria;2__undetermined Bacteria;3__undetermined Bacteria;4__undetermined Bacteria;5__undetermined Bacteria;6__undetermined Bacteria;7__undetermined Bacteria
1	0	1	0	0	0	1	2	1	4	87937	0	0	0	0	0	2	0	0	0	0	0	0	0	1	6	0	219	0	0	0	0	0	0	0	2	6	1	6	4	0	0	1__Bacteria;2__Verrucomicrobia;3__Verrucomicrobiae;4__Verrucomicrobiales;5__Akkermansiaceae;6__Akkermansia;7__Akkermansia muciniphila
2	1	37	5	4	4	2064	10013	2283	501	5456	566	18301	8181	4835	1042	0	2	3	3	41	5996	2024	122	193	10993	1	1	2	3	0	3	3	3	2	3	4	180	130	53	1081	2477	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Pseudomonadales;5__Pseudomonadaceae;6__Pseudomonas;7__Pseudomonas_u
3	0	3	1	0	1	89	199	75	63312	116	5	14	28	11	15	9	9	3	4	8	292	454	9	119	3026	3	14	2	0	19	7	3	3	0	152	167	144	139	255	197	13	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Actinobacteria_u;5__Actinobacteria_u_u;6__Actinobacteria_u_u_u;7__Actinobacteria_u_u_u_u
4	0	1	7	28	0	0	0	2	0	0	19	0	0	0	0	0	0	0	33474	0	1	3	0	0	0	183	2	0	0	0	0	85	0	0	0	4	0	14720	3	1	6	1__Bacteria;2__Bacteroidetes;3__Bacteroidia;4__Bacteroidales;5__Prevotellaceae;6__Prevotella;7__Prevotella salivae
5	0	0	0	3	0	5	0	0	0	63	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	2	11	0	40896	339	1	17	1__Bacteria;2__Firmicutes;3__Bacilli;4__Lactobacillales;5__Streptococcaceae;6__Streptococcus;7__Streptococcus parasanguinis
6	3	17	34	64	16	606	555	50	19	167	36	1039	29815	202	84	0	8	35	57	80	370	168	100	90	1351	1172	10	62	8	2	6	86	47	12	6	88	49	47	37	41	128	1__Bacteria;2__Proteobacteria;3__Proteobacteria_u;4__Proteobacteria_u_u;5__Proteobacteria_u_u_u;6__Proteobacteria_u_u_u_u;7__Proteobacteria_u_u_u_u_u
7	3	25	3	2	1	2907	7621	487	98	3704	42	530	5221	631	65	8	23	117	5	8	698	2444	15	195	5922	5	16	63	1	800	10	4	11	3	271	25	55	8	11	134	865	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Propionibacteriales;5__Propionibacteriaceae;6__Propionibacterium;7__Propionibacterium_u
8	0	0	3	1	0	1883	479	233	6	4414	17	1097	5004	577	155	0	0	0	0	0	675	377	0	19	751	0	0	0	0	0	0	0	0	0	0	0	182	19	11	33	3	1__Bacteria;2__Proteobacteria;3__Betaproteobacteria;4__Burkholderiales;5__Oxalobacteraceae;6__Herbaspirillum;7__Herbaspirillum autotrophicum
9	0	0	0	0	0	1	1	0	0	15073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	25	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1__Bacteria;2__Verrucomicrobia;3__Verrucomicrobiae;4__Verrucomicrobiales;5__Akkermansiaceae;6__Akkermansia;7__Akkermansia_u
